类别,周期,日期,房产类型,套数,面积㎡
一手房 预售成交 当日,当日,2026年6月6日,商业,12,578.67
一手房 预售成交 当日,当日,2026年6月6日,住宅,56,5544.59
一手房 预售成交 当日,当日,2026年6月6日,办公,0,0.0
一手房 预售成交 当日,当日,2026年6月6日,其他,0,0.0
一手房 预售成交 当日,当日,2026年6月6日,小计,68,6123.26
一手房 现售成交 当日,当日,2026年6月6日,商业,1,402.32
一手房 现售成交 当日,当日,2026年6月6日,住宅,53,5697.14
一手房 现售成交 当日,当日,2026年6月6日,办公,0,0.0
一手房 现售成交 当日,当日,2026年6月6日,其他,0,0.0
一手房 现售成交 当日,当日,2026年6月6日,小计,54,6099.46
一手房 新批准预售 当日,当日,2026年6月6日,90平方米以下,21,1781.52
一手房 新批准预售 当日,当日,2026年6月6日,90~144平方米,29,3215.85
一手房 新批准预售 当日,当日,2026年6月6日,144平方米以上,3,699.77
一手房 新批准预售 当日,当日,2026年6月6日,小计,53,5697.14
一手房 预售成交 当月,当月,2026年5月,商业,160,9200.33
一手房 预售成交 当月,当月,2026年5月,住宅,2819,317257.01
一手房 预售成交 当月,当月,2026年5月,办公,18,2793.86
一手房 预售成交 当月,当月,2026年5月,其他,27,24613.73
一手房 预售成交 当月,当月,2026年5月,小计,3024,353864.93
一手房 新批准预售 当月,当月,2026年5月,90平方米以下,1075,89565.37
一手房 新批准预售 当月,当月,2026年5月,90~144平方米,1450,164094.32
一手房 新批准预售 当月,当月,2026年5月,144平方米以上,294,63597.32
一手房 新批准预售 当月,当月,2026年5月,小计,2819,317257.01
二手房 成交 当日,当日,2026年6月6日,商业,2,106.13
二手房 成交 当日,当日,2026年6月6日,住宅,84,8437.53
二手房 成交 当日,当日,2026年6月6日,办公,1,37.68
二手房 成交 当日,当日,2026年6月6日,其他,11,358.37
二手房 成交 当日,当日,2026年6月6日,小计,98,8939.71
二手房 成交 当月,当月,2026年5月,商业,629,48450.48
二手房 成交 当月,当月,2026年5月,住宅,5534,546042.5
二手房 成交 当月,当月,2026年5月,办公,177,17734.36
二手房 成交 当月,当月,2026年5月,其他,357,22201.48
二手房 成交 当月,当月,2026年5月,小计,6697,634428.9
